
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	gender	DOB	age	won

1	1	1.869588	308.531879	308.511751	2193.552988	2193.527212	2	1	1.198134	3197.843797	3197.835130	4402.722192	4402.708232	00111	f	1943-05	75.582192	1
2	1	0.577242	6919.974416	6919.942475	7515.561010	7515.551335	3	1	0.770958	8516.567739	8516.560139	9308.839602	9308.826895	00111	f	1943-05	75.582192	1
3	1	0.514429	11820.998365	11820.988608	12352.476589	12352.469222	2	1	0.724485	13353.358224	13353.350789	14096.269663	14096.258534	00111	f	1943-05	75.582192	1
4	1	0.506143	16604.700890	16604.674435	17128.211572	17128.197775	3	1	1.525121	18129.161901	18129.154144	19663.032808	19663.023496	00111	f	1943-05	75.582192	1
5	1	0.472237	22172.530306	22172.514595	22661.583846	22661.575997	2	1	0.981086	23662.595264	23662.587209	24653.288371	24653.278364	00111	f	1943-05	75.582192	1
6	1	0.476711	27171.108342	27171.092542	27666.185031	27666.177169	3	1	1.125004	28667.108912	28667.101477	29798.236259	29798.226732	00111	f	1943-05	75.582192	1
7	1	0.520692	32307.051637	32307.033959	32844.004459	32843.993309	3	1	0.915194	33844.890015	33844.881993	34770.898157	34770.890681	00111	f	1943-05	75.582192	1
8	1	0.417576	37288.322944	37288.312196	37724.527053	37724.513115	2	1	1.035419	38725.501314	38725.492760	39774.949037	39774.940045	00111	f	1943-05	75.582192	1
9	1	0.441106	42289.018233	42289.005513	42748.260340	42748.250209	2	1	0.901146	43749.266938	43749.259018	44658.660848	44658.651766	00111	f	1943-05	75.582192	0
10	1	1.271350	47173.015170	47173.005125	48462.227259	48462.219233	2	2	1.804006	49463.193580	49463.186103	51278.104162	51278.095275	00111	f	1943-05	75.582192	0
11	1	0.456867	53790.318706	53790.307758	54264.827639	54264.819846	3	1	1.138992	55265.766170	55265.758664	56413.606714	56413.599310	00111	f	1943-05	75.582192	1
12	1	0.438149	58923.238620	58923.230466	59379.853763	59379.846263	2	1	0.861246	60380.754344	60380.746733	61252.559305	61252.551893	00111	f	1943-05	75.582192	1
13	1	0.417267	63774.161050	63774.145018	64209.619608	64209.611584	2	1	0.937836	65212.411961	65212.402931	66162.791956	66162.781470	00111	f	1943-05	75.582192	1
14	1	0.400629	68674.774105	68674.762500	69092.975119	69092.967295	2	1	0.957383	70093.827196	70093.819578	71065.956297	71065.948557	00111	f	1943-05	75.582192	0
