
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	gender	DOB	age	won

1	2	1.586152	153.344971	153.342041	1753.357910	1753.355957	2	2	1.473435	2754.571045	2754.567871	4240.686035	4240.685059	00023	m	1970-01	49.677626	1
2	1	2.297417	6751.159912	6751.157959	9064.677002	9064.674805	2	1	0.684729	10065.811035	10065.808105	10768.786865	10768.785889	00023	m	1970-01	49.677626	1
3	2	1.940110	13284.658936	13284.656982	15240.812012	15240.809814	3	2	0.781864	16241.647949	16241.645996	17032.816895	17032.815918	00023	m	1970-01	49.677626	1
4	1	2.009483	19551.456055	19551.454102	21576.933838	21576.930908	2	1	0.400409	22578.587158	22578.579834	22984.829834	22984.827881	00023	m	1970-01	49.677626	1
5	2	2.171461	25502.282959	25502.281006	27689.012939	27689.010742	3	2	0.387203	28695.215088	28695.208984	29104.871094	29104.869873	00023	m	1970-01	49.677626	0
6	2	2.558621	31618.121826	31618.119873	34192.915039	34192.914062	3	2	0.991824	35194.218018	35194.208008	36192.888916	36192.887939	00023	m	1970-01	49.677626	1
7	1	2.043207	38701.542969	38701.540039	40760.937012	40760.935059	2	1	0.497027	41762.182861	41762.178955	42264.966064	42264.965088	00023	m	1970-01	49.677626	0
8	2	1.608444	44768.254883	44768.252930	46392.937988	46392.936035	2	2	0.511861	47393.651123	47393.647949	47913.046875	47913.044922	00023	m	1970-01	49.677626	0
9	2	2.102477	50418.334961	50418.333008	52537.054932	52537.053955	3	2	0.433633	53538.055908	53538.050781	53985.032959	53985.031006	00023	m	1970-01	49.677626	0
10	1	1.755060	56501.797852	56501.795898	58273.041992	58273.041016	3	1	0.364280	59274.296875	59274.291992	59649.093750	59649.093018	00023	m	1970-01	49.677626	1
11	1	2.057004	62151.845947	62151.843994	64225.102051	64225.086914	2	1	0.405431	65226.386963	65226.379883	65641.152832	65641.151855	00023	m	1970-01	49.677626	1
