
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	gender	DOB	age	won

1	2	0.491347	147.007812	147.004883	652.500977	652.499023	2	1	0.581721	1656.320801	1656.304932	2259.533936	2259.531982	00003	f	1970-01	49.460502	1
2	2	0.393070	4778.281006	4778.277832	5187.593994	5187.592041	3	1	0.161074	6190.006104	6189.997070	6355.629883	6355.627930	00003	f	1970-01	49.460502	0
3	2	0.493659	8861.637939	8861.635986	9371.572998	9371.570801	3	2	0.489635	10373.791992	10373.783936	10867.583008	10867.581787	00003	f	1970-01	49.460502	1
4	2	0.457017	13378.392090	13378.389893	13851.653809	13851.652832	3	2	0.358355	14853.812012	14853.802979	15219.681885	15219.680908	00003	f	1970-01	49.460502	0
5	2	0.338891	17729.167969	17729.164795	18083.595947	18083.593750	3	2	0.332403	19093.149902	19093.133057	19443.806885	19443.804932	00003	f	1970-01	49.460502	0
6	1	0.489571	21961.820801	21961.818848	22467.667725	22467.666016	2	2	0.533657	23469.548828	23469.539795	24011.773926	24011.772949	00003	f	1970-01	49.460502	0
7	1	0.363057	26528.426025	26528.424072	26907.882812	26907.881104	3	2	0.427478	27909.607910	27909.600098	28355.671875	28355.669922	00003	f	1970-01	49.460502	0
8	1	0.477543	30861.875977	30861.873779	31355.784912	31355.782959	2	1	0.386163	32357.662842	32357.646973	32747.743896	32747.741943	00003	f	1970-01	49.460502	0
9	2	0.309393	35262.012939	35262.010742	35587.692871	35587.690918	3	2	0.256749	36589.396973	36589.388916	36851.722900	36851.719727	00003	f	1970-01	49.460502	0
10	1	0.897412	39361.925781	39361.923828	40275.770020	40275.769043	2	1	0.356790	41276.966797	41276.959961	41651.830811	41651.829102	00003	f	1970-01	49.460502	1
11	1	0.873441	44161.992920	44161.990967	45051.875732	45051.874023	3	1	0.486042	46053.114014	46053.105713	46547.820801	46547.818848	00003	f	1970-01	49.460502	1
12	1	0.333636	49062.058838	49062.057129	49412.122070	49412.118896	2	1	0.503583	50414.093018	50414.083984	50932.113770	50932.111084	00003	f	1970-01	49.460502	0
13	1	0.366160	53445.468018	53445.466064	53828.020752	53828.018799	2	1	0.334738	54830.428711	54830.419922	55179.994873	55179.992920	00003	f	1970-01	49.460502	0
14	1	0.364025	57695.537842	57695.535889	58075.966797	58075.964844	2	2	0.356598	59077.212891	59077.204102	59451.899902	59451.898926	00003	f	1970-01	49.460502	1
15	1	0.337367	61962.244141	61962.240967	62316.017822	62316.016846	2	2	0.355307	63317.716797	63317.700928	63683.998779	63683.996826	00003	f	1970-01	49.460502	1
16	1	0.352174	66195.657959	66195.655762	66564.210938	66564.208984	3	2	0.449330	67564.697021	67564.693848	68028.071777	68028.070068	00003	f	1970-01	49.460502	0
17	1	0.473895	70545.686035	70545.683838	71036.052979	71036.036865	2	2	0.454655	72037.285889	72037.277832	72500.101807	72500.100830	00003	f	1970-01	49.460502	0
18	1	0.591292	75012.419922	75012.417969	75620.123779	75620.121826	2	1	0.743187	76621.386963	76621.378906	77372.025879	77372.024902	00003	f	1970-01	49.460502	1
19	1	0.812534	79879.165771	79879.163086	80708.138916	80708.136963	2	1	0.507957	81709.397949	81709.388916	82220.207031	82220.192871	00003	f	1970-01	49.460502	1
20	1	0.522369	84729.250000	84729.246826	85268.014893	85268.012939	2	1	0.453439	86269.237061	86269.228027	86732.415039	86732.414062	00003	f	1970-01	49.460502	1
21	1	0.422006	89245.917969	89245.915771	89684.374756	89684.372803	2	1	0.388554	90685.468018	90685.459961	91084.282959	91084.281006	00003	f	1970-01	49.460502	1
22	1	0.511777	93596.096924	93596.094727	94124.202881	94124.199951	2	1	0.435144	95125.432861	95125.424805	95564.239990	95564.237793	00003	f	1970-01	49.460502	1
23	1	0.484435	98079.398926	98079.395996	98580.237793	98580.236816	2	1	0.456425	99580.749023	99580.746826	100052.254883	100052.253906	00003	f	1970-01	49.460502	1
24	1	0.408941	102562.799072	102562.796875	102988.163086	102988.162109	2	1	0.464491	103989.370850	103989.363037	104460.375977	104460.373779	00003	f	1970-01	49.460502	0
25	1	0.464530	106979.538818	106979.537109	107460.474854	107460.472900	2	2	0.397035	108461.583008	108461.574951	108876.350830	108876.347900	00003	f	1970-01	49.460502	1
26	1	0.536266	111379.581055	111379.578857	111932.270996	111932.255859	3	2	1.274248	112933.969971	112933.954834	114220.282959	114220.281738	00003	f	1970-01	49.460502	0
27	1	0.514172	116729.632812	116729.630859	117260.243896	117260.241943	3	2	0.564906	118261.380859	118261.372803	118844.329834	118844.327881	00003	f	1970-01	49.460502	0
28	1	0.385109	121363.036865	121363.033936	121764.602051	121764.600098	2	1	1.160830	122765.709961	122765.702881	123940.317871	123940.315918	00003	f	1970-01	49.460502	1
29	1	0.821407	126446.462891	126446.460938	127284.287842	127284.286133	2	1	0.588167	128285.835938	128285.822021	128884.389893	128884.388916	00003	f	1970-01	49.460502	1
30	1	1.087510	131396.534912	131396.532959	132500.453857	132500.452881	2	1	0.331528	133501.670898	133501.662842	133844.500977	133844.498779	00003	f	1970-01	49.460502	1
31	1	0.569322	136346.679932	136346.677979	136932.359863	136932.358887	2	1	0.418180	137933.588135	137933.578857	138364.534912	138364.533936	00003	f	1970-01	49.460502	0
32	2	0.612101	140879.989014	140879.987061	141508.523926	141508.509766	2	1	0.499699	142509.615967	142509.608887	143012.812012	143012.810059	00003	f	1970-01	49.460502	1
33	2	0.505924	145530.102051	145530.099854	146052.405762	146052.404785	2	1	0.445405	147053.624023	147053.615723	147508.569092	147508.566895	00003	f	1970-01	49.460502	0
34	2	0.574641	150013.481934	150013.479980	150604.507812	150604.506104	3	1	0.719359	151605.689941	151605.681885	152332.578857	152332.577881	00003	f	1970-01	49.460502	1
35	2	0.509283	154846.855957	154846.854004	155372.541992	155372.541016	3	1	0.488673	156373.428711	156373.423828	156868.633057	156868.630859	00003	f	1970-01	49.460502	0
36	2	0.983931	159380.254883	159380.252930	160380.609131	160380.606934	3	2	0.672032	161381.892822	161381.883789	162068.729004	162068.727051	00003	f	1970-01	49.460502	1
37	1	0.479854	164580.332031	164580.329834	165076.596924	165076.593750	3	2	1.171927	166078.132812	166078.119873	167268.684814	167268.683838	00003	f	1970-01	49.460502	1
38	1	0.479821	169780.416016	169780.413818	170276.633057	170276.630859	3	2	0.459796	171278.173828	171278.160889	171756.631836	171756.628906	00003	f	1970-01	49.460502	0
39	2	0.940611	174263.835938	174263.833984	175220.836914	175220.833984	3	1	0.638570	176221.967041	176221.959717	176868.801758	176868.799805	00003	f	1970-01	49.460502	1
40	2	0.495719	179380.538086	179380.534912	179892.646973	179892.644775	3	1	0.403853	180893.770996	180893.762695	181300.804932	181300.802979	00003	f	1970-01	49.460502	0
41	2	0.414411	183813.938965	183813.937012	184244.748779	184244.745850	2	2	0.397006	185245.613770	185245.607910	185660.682861	185660.680908	00003	f	1970-01	49.460502	1
42	1	0.544449	188164.026855	188164.023926	188724.850830	188724.849854	2	2	0.682498	189725.978760	189725.970947	190412.916016	190412.914062	00003	f	1970-01	49.460502	1
43	1	0.449744	192930.790039	192930.786865	193396.880859	193396.878906	3	2	0.415041	194398.701904	194398.692871	194828.863770	194828.862061	00003	f	1970-01	49.460502	0
44	1	1.041036	197347.476074	197347.472900	198404.895996	198404.894775	2	2	0.958976	199406.021729	199406.013916	200372.869873	200372.868896	00003	f	1970-01	49.460502	1
45	1	0.675730	202880.856934	202880.854736	203572.992920	203572.991943	2	2	0.608301	204574.097900	204574.090088	205188.936035	205188.935059	00003	f	1970-01	49.460502	1
