
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	gender	DOB	age	won

1	2	1.040293	149.048828	149.046875	1203.062988	1203.061768	3	1	1.956829	2206.741943	2206.731689	4170.703857	4170.701904	00012	f	1970-01	49.546575	1
2	2	0.754369	6680.270996	6680.269043	7450.697021	7450.694824	2	1	1.243541	8453.101807	8453.093994	9706.794922	9706.793701	00012	f	1970-01	49.546575	1
3	2	0.885222	12213.537842	12213.534912	13114.833740	13114.832031	3	2	1.881105	14116.836914	14116.829834	16010.866943	16010.864990	00012	f	1970-01	49.546575	0
4	2	1.192467	18530.262939	18530.259766	19738.845947	19738.844971	3	1	1.216067	20740.796875	20740.789062	21962.859863	21962.857910	00012	f	1970-01	49.546575	0
5	2	0.170440	24481.115723	24481.113037	24666.900879	24666.898926	3	1	2.002318	25674.573975	25674.565918	27698.891846	27698.889893	00012	f	1970-01	49.546575	1
6	1	0.957043	30213.655029	30213.652832	31186.929932	31186.927734	2	2	1.693911	32188.505859	32188.499023	33890.931885	33890.929932	00012	f	1970-01	49.546575	1
7	1	0.653610	36397.102783	36397.100830	37066.920898	37066.918945	2	2	1.402861	38068.291992	38068.283691	39482.936768	39482.936035	00012	f	1970-01	49.546575	1
8	1	0.589604	41997.125000	41997.123047	42602.966797	42602.965820	3	1	1.908883	43604.900879	43604.891846	45523.016846	45523.015869	00012	f	1970-01	49.546575	1
9	2	0.652264	48030.574707	48030.572998	48699.085938	48699.083740	3	1	1.273402	49700.635986	49700.627930	50987.016846	50987.015137	00012	f	1970-01	49.546575	0
10	2	0.569585	53497.353760	53497.351807	54083.118896	54083.117920	3	2	2.026104	55084.268799	55084.261963	57123.117920	57123.115723	00012	f	1970-01	49.546575	0
11	2	0.588085	59630.768799	59630.766846	60235.095947	60235.093750	3	1	0.644072	61236.189941	61236.181885	61891.172852	61891.171875	00012	f	1970-01	49.546575	1
12	2	1.029499	64397.648926	64397.645996	65443.290039	65443.287842	3	1	1.650489	66444.415771	66444.407959	68099.209717	68099.208740	00012	f	1970-01	49.546575	0
13	2	0.492720	70614.284912	70614.282959	71123.214111	71123.212891	3	1	0.887656	72124.336914	72124.328857	73019.166016	73019.162842	00012	f	1970-01	49.546575	1
14	1	0.727977	75531.003906	75531.001709	76275.220947	76275.218994	2	1	1.049188	77275.806885	77275.803711	78331.270996	78331.268799	00012	f	1970-01	49.546575	1
15	1	0.699370	80847.755859	80847.752930	81563.354980	81563.352783	2	2	2.030544	82567.406982	82567.391846	84611.344727	84611.343994	00012	f	1970-01	49.546575	1
16	1	0.784564	87114.517090	87114.514893	87915.312988	87915.311768	3	1	1.224504	88916.428711	88916.421875	90155.363770	90155.361816	00012	f	1970-01	49.546575	0
17	1	0.594552	92664.593994	92664.591797	93275.412842	93275.410889	2	1	1.681909	94276.739746	94276.733887	95963.416748	95963.415039	00012	f	1970-01	49.546575	0
18	1	0.633790	98481.462891	98481.460938	99131.379883	99131.378906	2	2	0.927785	100133.116943	100133.107910	101075.431885	101075.430908	00012	f	1970-01	49.546575	0
19	1	0.445740	103581.422852	103581.420898	104043.417969	104043.416992	3	1	1.986799	105044.604736	105044.597900	107035.468750	107035.467041	00012	f	1970-01	49.546575	1
