
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	gender	DOB	age	won

1	1	1.058539	330.843025	330.822251	1404.978095	1404.965259	2	1	2.360443	2409.164454	2409.156960	4786.003356	4785.993368	00120	m	1949-08	69.758219	0
2	1	1.098378	7308.700937	7308.685930	8424.741973	8424.714027	2	1	0.507807	9425.571126	9425.563240	9950.465296	9950.457773	00120	m	1949-08	69.758219	1
3	1	0.601569	12459.148556	12459.140255	13078.352434	13078.344987	2	1	0.640393	14084.273946	14084.255335	14734.189370	14734.178938	00120	m	1949-08	69.758219	1
4	1	0.037244	17242.964893	17242.949801	17297.677970	17297.670065	3	1	1.816628	18298.521047	18298.513974	20126.459187	20126.451559	00120	m	1949-08	69.758219	0
5	1	0.557006	22643.087844	22643.075657	23217.928315	23217.920600	2	1	0.782714	24218.761419	24218.754084	25010.383281	25010.375610	00120	m	1949-08	69.758219	0
6	1	0.607217	27526.822208	27526.810318	28151.793124	28151.785334	3	1	1.250030	29152.640461	29152.633128	30410.996656	30410.985856	00120	m	1949-08	69.758219	1
7	1	0.757059	32926.626884	32926.612175	33702.141430	33702.130977	2	2	1.935034	34703.018683	34703.011123	36646.339134	36646.331452	00120	m	1949-08	69.758219	1
8	1	0.970604	39159.597407	39159.589758	40149.100090	40149.092566	2	2	0.770321	41150.010890	41150.003224	41932.876596	41932.862287	00120	m	1949-08	69.758219	0
9	1	0.595645	44446.175785	44446.167550	45057.574757	45057.567146	2	2	0.658092	46058.483322	46058.474952	46737.427787	46737.417942	00120	m	1949-08	69.758219	1
10	1	0.730611	49245.418585	49245.409980	49993.331603	49993.314007	3	2	0.479699	50994.154269	50994.146807	51491.566005	51491.553312	00120	m	1949-08	69.758219	1
