
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	gender	DOB	age	won

1	2	1.304512	141.927002	141.924072	1460.500000	1460.498291	3	2	0.395202	2464.139160	2464.129150	2867.891113	2867.888916	00006	m	1970-01	49.591553	0
2	1	0.453672	5389.821045	5389.819092	5859.715088	5859.714111	3	1	0.187024	6863.183105	6863.167969	7059.758057	7059.756104	00006	m	1970-01	49.591553	0
3	2	0.566322	9573.205078	9573.202148	10155.762939	10155.761963	2	2	0.487028	11158.673096	11158.663086	11659.826172	11659.824219	00006	m	1970-01	49.591553	0
4	2	0.686337	14173.219971	14173.218018	14875.850098	14875.848145	3	2	1.786355	15878.083984	15878.075195	17675.892090	17675.891113	00006	m	1970-01	49.591553	0
5	1	0.701752	20190.891113	20190.889160	20908.029053	20908.026123	3	1	0.464938	21918.121094	21918.113037	22387.912109	22387.910156	00006	m	1970-01	49.591553	1
6	1	0.768879	24906.588135	24906.584961	25691.883057	25691.881104	3	1	0.465616	26693.832031	26693.822021	27171.979004	27171.977051	00006	m	1970-01	49.591553	1
7	1	0.449543	29689.987061	29689.985107	30155.949219	30155.947998	2	1	0.670915	31158.805176	31158.796143	31844.005127	31844.002930	00006	m	1970-01	49.591553	1
8	1	0.526816	34356.765137	34356.763184	34899.966064	34899.963135	2	1	0.353479	35901.302246	35901.293213	36259.989014	36259.986084	00006	m	1970-01	49.591553	0
9	2	0.462146	38773.458008	38773.455078	39252.026123	39252.023926	3	2	0.443488	40253.579102	40253.571045	40700.042969	40700.041992	00006	m	1970-01	49.591553	0
10	1	0.932754	43206.850098	43206.847900	44156.026123	44156.024170	2	2	0.423861	45158.156006	45158.149170	45597.218018	45597.216309	00006	m	1970-01	49.591553	1
11	1	0.648742	48106.930176	48106.928223	48772.083008	48772.081299	2	2	0.454071	49775.650146	49775.640137	50244.114014	50244.112061	00006	m	1970-01	49.591553	1
12	1	0.582751	52757.000977	52756.999023	53356.171143	53356.169922	2	2	0.462681	54357.989258	54357.984131	54836.117188	54836.116211	00006	m	1970-01	49.591553	0
13	2	0.439316	57340.398193	57340.395996	57796.127197	57796.125000	3	1	0.389405	58797.344971	58797.337158	59196.263184	59196.260986	00006	m	1970-01	49.591553	1
14	2	0.520682	61707.098145	61707.096191	62244.246094	62244.244141	2	1	0.307294	63245.461182	63245.453125	63564.203125	63564.201172	00006	m	1970-01	49.591553	0
15	1	0.529936	66073.867188	66073.864990	66620.249023	66620.234131	2	1	0.460616	67621.373047	67621.366211	68084.242188	68084.240967	00006	m	1970-01	49.591553	1
16	1	0.701210	70590.594971	70590.592041	71308.223145	71308.222168	3	1	0.488589	72309.461182	72309.453125	72812.291016	72812.290039	00006	m	1970-01	49.591553	1
17	1	0.687959	75324.065918	75324.064209	76028.398193	76028.397217	2	1	0.283854	77029.496094	77029.488281	77324.289062	77324.287109	00006	m	1970-01	49.591553	1
18	1	0.523121	79840.739990	79840.737305	80380.276123	80380.275146	2	1	0.437829	81381.500977	81381.492188	81828.334229	81828.332031	00006	m	1970-01	49.591553	0
19	2	1.135085	84340.811035	84340.809082	85492.306152	85492.304199	3	2	0.281147	86493.593994	86493.586182	86788.391113	86788.389893	00006	m	1970-01	49.591553	0
20	2	0.392425	89307.534912	89307.533203	89716.384033	89716.383057	3	1	1.864403	90717.728271	90717.718262	92588.384033	92588.382080	00006	m	1970-01	49.591553	1
21	2	0.368992	95090.960205	95090.958252	95476.371094	95476.370117	3	1	0.393683	96476.871094	96476.867920	96884.416260	96884.414062	00006	m	1970-01	49.591553	1
22	2	0.404981	99391.025146	99391.021973	99812.414062	99812.413086	3	1	0.276326	100813.632080	100813.624023	101100.451172	101100.450195	00006	m	1970-01	49.591553	1
23	2	0.364275	103607.755127	103607.753174	103988.449219	103988.447021	2	1	0.381002	104989.589111	104989.581299	105388.529053	105388.528076	00006	m	1970-01	49.591553	1
24	2	0.360266	107907.812256	107907.810059	108284.501221	108284.499023	2	1	0.305667	109285.593994	109285.587158	109596.586182	109596.584229	00006	m	1970-01	49.591553	1
25	2	0.392200	112107.870117	112107.867920	112516.500977	112516.499023	3	1	0.416255	113517.807129	113517.799316	113940.573975	113940.572998	00006	m	1970-01	49.591553	1
26	2	0.330239	116458.094238	116458.091064	116804.602051	116804.601074	2	1	0.348217	117805.757080	117805.749023	118172.600098	118172.598145	00006	m	1970-01	49.591553	1
27	2	0.632809	120691.343994	120691.342285	121340.569092	121340.568115	3	1	0.366874	122342.520996	122342.513184	122724.654053	122724.653076	00006	m	1970-01	49.591553	1
28	2	0.490819	125241.389160	125241.387207	125748.637939	125748.635986	2	1	0.446844	126749.866943	126749.859131	127204.689209	127204.688232	00006	m	1970-01	49.591553	1
29	2	0.496116	129708.143066	129708.141113	130220.667236	130220.666016	3	1	0.324146	131221.763184	131221.756104	131548.729004	131548.727051	00006	m	1970-01	49.591553	1
30	2	0.530067	134058.213135	134058.210205	134604.691162	134604.690186	3	1	0.508768	135605.698242	135605.690918	136116.744141	136116.742188	00006	m	1970-01	49.591553	1
31	2	0.427436	138624.947266	138624.945068	139068.813232	139068.811035	2	1	0.362066	140069.933105	140069.925049	140436.778076	140436.775879	00006	m	1970-01	49.591553	0
32	1	0.686673	142941.663086	142941.659912	143644.761230	143644.759033	2	2	0.314742	144645.277100	144645.273926	144972.861084	144972.858887	00006	m	1970-01	49.591553	0
33	2	1.848704	147491.860107	147491.858154	149356.859131	149356.858154	2	1	0.381987	150359.641113	150359.633057	150756.844971	150756.843262	00006	m	1970-01	49.591553	1
34	2	0.537342	153275.147949	153275.145996	153828.920166	153828.917969	2	1	0.499300	154830.134033	154830.126221	155340.895020	155340.894043	00006	m	1970-01	49.591553	1
35	2	0.545823	157858.556152	157858.552979	158420.809082	158420.808105	3	1	0.267929	159421.200195	159421.197021	159692.929199	159692.928223	00006	m	1970-01	49.591553	1
36	2	0.435968	162208.619141	162208.616943	162661.008301	162661.007080	2	1	0.313898	163662.090088	163662.082031	163988.964111	163988.963135	00006	m	1970-01	49.591553	0
37	1	0.472472	166492.011230	166492.009033	166980.929199	166980.927979	2	2	0.293204	167982.222168	167982.215088	168284.991943	168284.991211	00006	m	1970-01	49.591553	0
38	1	0.804479	170792.080078	170792.078125	171612.978027	171612.977051	2	1	0.315856	172614.187988	172614.180176	172941.060059	172941.058105	00006	m	1970-01	49.591553	1
39	1	0.721804	175458.808105	175458.806152	176197.102051	176197.100098	2	1	1.020430	177198.388184	177198.380127	178229.041260	178229.038086	00006	m	1970-01	49.591553	1
40	1	0.374405	180742.228027	180742.226318	181133.063232	181133.062256	2	1	0.311044	182133.537109	182133.534912	182453.066162	182453.062988	00006	m	1970-01	49.591553	0
41	1	0.821686	184958.956055	184958.954102	185797.082031	185797.080078	3	2	0.332333	186798.331055	186798.322998	187141.093994	187141.093018	00006	m	1970-01	49.591553	0
42	2	0.681634	189659.031006	189659.029053	190357.089111	190357.088135	3	2	0.365691	191360.398193	191360.390137	191741.178955	191741.177246	00006	m	1970-01	49.591553	1
43	2	0.417578	194259.060059	194259.058105	194693.094971	194693.093994	2	2	0.480458	195694.189209	195694.181152	196189.349121	196189.347168	00006	m	1970-01	49.591553	1
44	2	0.568348	198692.462891	198692.461182	199277.268066	199277.266113	2	2	0.329029	200278.376221	200278.368164	200621.334229	200621.332031	00006	m	1970-01	49.591553	1
45	2	0.622941	203125.893311	203125.891113	203765.260010	203765.258057	3	2	0.317619	204765.770020	204765.767090	205093.287109	205093.285156	00006	m	1970-01	49.591553	0
46	2	0.595589	207609.302979	207609.301270	208221.299072	208221.298096	3	1	0.275574	209222.389160	209222.382080	209501.343994	209501.343018	00006	m	1970-01	49.591553	1
47	2	0.387704	212009.356201	212009.354248	212413.518066	212413.516113	3	1	0.395545	213414.694092	213414.687012	213821.355225	213821.353027	00006	m	1970-01	49.591553	0
48	1	1.358795	216326.097168	216326.095215	217701.312256	217701.310059	2	2	0.392187	218702.322998	218702.316162	219101.404053	219101.403076	00006	m	1970-01	49.591553	1
49	1	0.595503	221609.504150	221609.501221	222221.431152	222221.430176	2	2	0.267435	223222.415039	223222.408203	223493.387939	223493.386963	00006	m	1970-01	49.591553	1
50	1	0.331413	226009.578125	226009.575195	226357.405029	226357.403076	2	2	0.261442	227358.531982	227358.524170	227637.452148	227637.450928	00006	m	1970-01	49.591553	1
51	1	0.333994	230143.152100	230143.150146	230493.389160	230493.386963	3	2	0.320083	231494.601074	231494.593018	231829.489990	231829.489014	00006	m	1970-01	49.591553	0
52	2	0.453952	234343.034180	234343.032227	234813.404053	234813.403320	3	1	0.331347	235814.614990	235814.605957	236157.490967	236157.489990	00006	m	1970-01	49.591553	1
53	2	0.536649	238676.425049	238676.423096	239229.491943	239229.490967	3	1	0.346653	240229.988281	240229.986084	240589.527100	240589.526123	00006	m	1970-01	49.591553	0
54	1	0.575874	243093.167236	243093.164062	243685.458008	243685.457031	2	2	0.456596	244686.551270	244686.542969	245149.540039	245149.538086	00006	m	1970-01	49.591553	0
55	2	0.729322	247659.885010	247659.883057	248405.638916	248405.637939	3	1	0.299923	249406.702148	249406.695312	249709.593994	249709.593018	00006	m	1970-01	49.591553	1
56	2	0.498530	252226.639160	252226.635986	252741.596924	252741.595215	3	1	0.253891	253744.444092	253744.435059	254013.639160	254013.637207	00006	m	1970-01	49.591553	1
57	2	0.358441	256526.689209	256526.686035	256901.572021	256901.569092	2	1	0.303839	257902.667236	257902.658936	258213.649170	258213.648193	00006	m	1970-01	49.591553	1
58	2	0.294416	260726.886963	260726.884277	261037.610107	261037.606934	3	1	0.458441	262038.687988	262038.680176	262501.644287	262501.641113	00006	m	1970-01	49.591553	1
59	2	0.619083	265010.155029	265010.153076	265645.672119	265645.671143	3	1	0.321748	266646.870117	266646.861084	266981.677246	266981.675049	00006	m	1970-01	49.591553	1
60	2	0.367729	269493.552979	269493.551025	269877.696045	269877.694092	3	1	0.328406	270878.881104	270878.872070	271221.763184	271221.761963	00006	m	1970-01	49.591553	1
61	2	0.334342	273726.947998	273726.946289	274077.747070	274077.746094	3	1	0.424376	275078.931152	275078.923096	275517.766113	275517.765137	00006	m	1970-01	49.591553	1
62	2	0.346262	278027.137207	278027.135254	278389.705078	278389.703125	3	1	1.524365	279390.780029	279390.773193	280917.830078	280917.827148	00006	m	1970-01	49.591553	0
63	1	0.514261	283427.093994	283427.092041	283957.791260	283957.788086	2	2	0.404965	284958.859131	284958.852051	285381.850098	285381.848145	00006	m	1970-01	49.591553	1
64	1	0.367633	287893.821045	287893.819092	288277.892090	288277.890137	2	2	0.424277	289278.955078	289278.947266	289717.895020	289717.893311	00006	m	1970-01	49.591553	1
65	1	0.658242	292227.219238	292227.217041	292901.895996	292901.894287	2	2	0.663601	293902.367188	293902.364014	294573.939209	294573.937012	00006	m	1970-01	49.591553	1
66	1	0.336184	297077.299316	297077.297119	297429.916016	297429.914062	3	2	0.330258	298431.085205	298431.077148	298774.001221	298773.999023	00006	m	1970-01	49.591553	1
67	1	1.265352	321046.118164	321046.107178	322326.124023	322326.123047	2	1	0.501986	323328.007080	323328.004150	323846.089111	323846.087891	00006	m	1970-01	49.591553	0
68	1	0.436685	326361.030273	326361.028076	326814.172119	326814.170166	2	2	0.458606	327815.290039	327815.282227	328286.107178	328286.106201	00006	m	1970-01	49.591553	1
69	1	0.419543	330794.468018	330794.465088	331230.441162	331230.438965	3	2	0.266002	332231.653076	332231.645264	332510.250244	332510.249268	00006	m	1970-01	49.591553	0
70	2	0.601900	335027.862061	335027.860107	335646.182129	335646.181152	3	1	0.449244	336647.326904	336647.320068	337110.218018	337110.216309	00006	m	1970-01	49.591553	0
71	1	0.913860	339628.045166	339628.042969	340558.224121	340558.222168	2	2	0.444547	341559.230225	341559.222900	342022.293213	342022.274170	00006	m	1970-01	49.591553	1
72	1	0.341843	344528.006104	344528.003906	344886.301025	344886.299316	3	2	0.471848	345887.386230	345887.378906	346366.337158	346366.333984	00006	m	1970-01	49.591553	1
73	1	0.567876	348878.169189	348878.166016	349462.363037	349462.362061	3	2	0.464522	350463.448242	350463.439941	350942.363037	350942.361084	00006	m	1970-01	49.591553	0
74	1	1.817137	353444.885010	353444.883301	355278.363037	355278.361084	2	1	0.415836	356279.554199	356279.546143	356710.469971	356710.468018	00006	m	1970-01	49.591553	1
75	1	0.641751	359228.230957	359228.228271	359886.424072	359886.409180	2	1	0.519701	360886.757324	360886.755127	361414.359131	361414.358154	00006	m	1970-01	49.591553	1
76	1	0.581704	363928.306152	363928.303955	364526.413086	364526.412109	2	1	0.509637	365529.464111	365529.456299	366054.373047	366054.371094	00006	m	1970-01	49.591553	1
77	1	0.508385	368561.657959	368561.656006	369086.513184	369086.512207	2	1	0.463671	370087.594971	370087.588135	370558.476074	370558.475098	00006	m	1970-01	49.591553	0
78	1	0.392291	373061.774170	373061.770996	373470.488037	373470.486084	2	2	0.352323	374471.682129	374471.674072	374830.546143	374830.544922	00006	m	1970-01	49.591553	1
79	1	0.588956	377345.168213	377345.166016	377950.529297	377950.527100	3	2	0.588920	378951.915039	378951.906982	379550.516113	379550.515137	00006	m	1970-01	49.591553	1
80	1	0.368206	382061.893066	382061.890137	382446.521973	382446.521240	3	2	0.312915	383447.711182	383447.701904	383774.619141	383774.617920	00006	m	1970-01	49.591553	1
81	1	0.671444	386278.622070	386278.619141	386966.490967	386966.489990	3	2	0.292250	387967.568115	387967.561035	388270.678955	388270.677246	00006	m	1970-01	49.591553	1
82	1	0.347514	390778.687988	390778.686035	391142.628906	391142.627197	2	2	0.644820	392143.687012	392143.679199	392806.624023	392806.623047	00006	m	1970-01	49.591553	1
83	1	0.382183	395312.088135	395312.084961	395710.689209	395710.688232	2	2	0.486089	396713.407959	396713.400146	397214.634033	397214.632080	00006	m	1970-01	49.591553	1
84	1	0.333412	399728.846191	399728.843994	400078.692871	400078.691162	2	2	0.391431	401080.230957	401080.223145	401486.702148	401486.700195	00006	m	1970-01	49.591553	0
85	2	0.514682	403995.611084	403995.608154	404526.670898	404526.668213	3	1	0.277417	405527.632080	405527.626953	405822.766113	405822.765137	00006	m	1970-01	49.591553	0
86	1	0.021355	408328.945068	408328.943115	408366.735107	408366.734131	2	1	0.444017	409367.912109	409367.904053	409822.749268	409822.746094	00006	m	1970-01	49.591553	0
87	1	0.429333	412329.089111	412329.087158	412774.778320	412774.775146	2	2	1.003990	413775.978271	413775.969971	414782.784180	414782.781250	00006	m	1970-01	49.591553	1
88	1	0.390593	417295.864258	417295.862061	417702.781006	417702.779053	2	2	0.358650	418703.967285	418703.958984	419070.861084	419070.859131	00006	m	1970-01	49.591553	0
89	2	0.675235	421579.152100	421579.150146	422270.819092	422270.818115	2	1	0.311953	423271.902100	423271.895020	423590.884033	423590.882080	00006	m	1970-01	49.591553	1
90	2	0.438509	426095.897949	426095.895020	426550.811035	426550.810059	3	1	0.340526	427551.715332	427551.708984	427902.858154	427902.857178	00006	m	1970-01	49.591553	1
91	2	0.425907	430412.612061	430412.610107	430854.935059	430854.934082	3	1	0.384575	431856.038086	431856.031006	432246.985107	432246.983154	00006	m	1970-01	49.591553	1
92	2	0.363812	434762.684082	434762.682129	435142.912109	435142.911133	3	1	0.308511	436143.979248	436143.970947	436470.991211	436470.989014	00006	m	1970-01	49.591553	0
93	2	1.555164	438979.429199	438979.427246	440550.989014	440550.987061	3	2	0.460443	441552.051025	441552.042969	442022.982178	442022.980957	00006	m	1970-01	49.591553	0
94	1	0.349098	444529.492188	444529.489990	444895.038086	444895.035156	2	1	0.374433	445897.470947	445897.463135	446287.040039	446287.037109	00006	m	1970-01	49.591553	1
95	1	0.346395	448796.211182	448796.209229	449159.059082	449159.057129	2	1	0.340454	450160.128174	450160.120117	450503.127197	450503.125000	00006	m	1970-01	49.591553	1
96	1	0.393615	453012.927979	453012.926270	453422.988037	453422.987061	3	1	0.289713	454424.050293	454424.041992	454719.104980	454719.103271	00006	m	1970-01	49.591553	0
97	2	0.496969	457229.677979	457229.676025	457743.072021	457743.071045	3	2	0.540955	458743.564209	458743.562012	459287.073242	459287.072021	00006	m	1970-01	49.591553	0
98	2	0.426323	461796.378174	461796.375977	462239.152100	462239.151123	3	1	0.440957	463240.228027	463240.220215	463687.147217	463687.145996	00006	m	1970-01	49.591553	0
99	1	2.322250	466196.481934	466196.479248	468535.144287	468535.143311	3	1	0.901044	469536.225098	469536.217041	470447.338135	470447.335938	00006	m	1970-01	49.591553	1
