
trial	choice1	rts1	stim1ons_sl	stim1ons_ms	choice1ons_sl	choice1ons_ms	state	choice2	rts2	stim2ons_sl	stim2ons_ms	choice2ons_sl	choice2ons_ms	SC_ID	gender	DOB	age	won

1	0	0.000000	142.910156	142.906982	0.000000	0.000000
2	0	0.000000	4157.587158	4157.583984	0.000000	0.000000
3	1	0.850063	8174.195068	8174.192871	9040.355957	9040.354004	2	2	0.790731	10043.028076	10043.020020	10847.792969	10847.791016	004	f	1970-01	49.363470	1
4	1	1.162162	13357.677979	13357.675049	14535.842041	14535.838867	2	2	0.978762	15537.983887	15537.976074	16535.819092	16535.815918	004	f	1970-01	49.363470	1
5	1	0.542819	19041.718018	19041.715088	19599.905029	19599.902832	2	2	0.448091	20602.946045	20602.943115	21071.954102	21071.951904	004	f	1970-01	49.363470	0
6	1	0.688775	23590.906006	23590.904053	24295.934082	24295.933105	2	2	0.908634	25297.119873	25297.112061	26215.918213	26215.916992	004	f	1970-01	49.363470	0
7	1	0.635525	28724.313965	28724.312256	29376.091064	29376.087891	2	1	0.529261	30376.702148	30376.698975	30919.919189	30919.916992	004	f	1970-01	49.363470	1
8	1	0.415324	33424.349121	33424.346924	33855.902100	33855.900146	3	1	1.438152	34859.229004	34859.220947	36312.244873	36312.243164	004	f	1970-01	49.363470	0
9	1	0.567383	38824.460205	38824.458008	39408.072998	39408.072021	2	2	0.511872	40408.780029	40408.778076	40936.049072	40936.046875	004	f	1970-01	49.363470	1
10	1	0.558606	43441.220215	43441.217041	44016.052002	44016.050049	2	2	0.399394	45024.809082	45024.806152	45440.266846	45440.265137	004	f	1970-01	49.363470	0
11	1	0.313948	47957.936035	47957.934082	48288.118896	48288.117920	3	1	0.404561	49289.437988	49289.429932	49712.173096	49712.170898	004	f	1970-01	49.363470	1
12	1	0.375299	52224.663086	52224.659912	52616.189941	52616.189209	3	1	0.975493	53617.421875	53617.415039	54600.271973	54600.270996	004	f	1970-01	49.363470	1
13	1	0.371797	57108.025146	57108.022949	57496.063965	57496.062988	3	1	0.516448	58497.500977	58497.492188	59024.167236	59024.166016	004	f	1970-01	49.363470	1
14	1	0.242432	61541.437012	61541.435059	61800.121094	61800.118896	2	1	0.351684	62801.260986	62801.252930	63160.193115	63160.191162	004	f	1970-01	49.363470	1
15	1	1.069115	65675.000977	65674.999023	66760.201904	66760.201172	2	1	0.489766	67761.760010	67761.746094	68264.338135	68264.335938	004	f	1970-01	49.363470	1
16	1	0.433093	70775.095947	70775.093994	71224.261963	71224.260010	3	1	1.007077	72225.818848	72225.816162	73248.369141	73248.367188	004	f	1970-01	49.363470	1
17	1	0.353663	75758.465088	75758.462891	76128.248047	76128.246094	2	1	1.099008	77128.769043	77128.766113	78240.288086	78240.287109	004	f	1970-01	49.363470	0
18	1	0.505690	80758.512207	80758.510010	81280.329102	81280.313965	2	2	0.501015	82281.451904	82281.444092	82792.424072	82792.423096	004	f	1970-01	49.363470	0
19	1	0.658832	85325.244873	85325.243164	86000.275879	86000.273926	3	1	0.414760	87000.938965	87000.936035	87424.356934	87424.355225	004	f	1970-01	49.363470	1
20	1	0.506263	89941.858154	89941.855957	90464.357910	90464.356934	2	1	0.605630	91466.153076	91466.137939	92080.518066	92080.517090	004	f	1970-01	49.363470	1
21	1	0.272341	94592.048096	94592.046143	94880.497070	94880.496094	2	1	0.316602	95882.180908	95882.166016	96208.362061	96208.360107	004	f	1970-01	49.363470	0
22	1	0.658889	98725.432861	98725.431152	99400.438232	99400.437012	2	2	0.735800	100401.172119	100401.166992	101144.395020	101144.393066	004	f	1970-01	49.363470	1
23	1	0.245130	103675.476074	103675.474121	103936.751953	103936.750977	2	2	0.754771	104937.133057	104937.131104	105696.465088	105696.462891	004	f	1970-01	49.363470	0
24	2	0.751433	108208.937012	108208.935059	108976.494141	108976.491943	3	1	0.488667	109977.669189	109977.660889	110480.509033	110480.508057	004	f	1970-01	49.363470	1
25	2	0.480095	112992.226074	112992.223145	113488.549072	113488.546875	2	2	1.251985	114489.894043	114489.884033	115760.567139	115760.565186	004	f	1970-01	49.363470	1
26	2	0.468727	118275.601074	118275.599121	118760.565186	118760.562988	2	2	0.609247	119761.665039	119761.657959	120384.571045	120384.570068	004	f	1970-01	49.363470	1
27	2	0.548023	122892.444824	122892.443115	123456.609131	123456.608154	2	2	0.517333	124457.762939	124457.756104	124992.620117	124992.619141	004	f	1970-01	49.363470	1
28	2	0.251352	127509.218018	127509.214844	127776.676025	127776.675049	3	2	0.400618	128777.781006	128777.773926	129192.652100	129192.649902	004	f	1970-01	49.363470	1
29	2	0.707397	131709.259033	131709.256104	132432.791016	132432.790039	3	2	0.446052	133433.889893	133433.882080	133888.635010	133888.634033	004	f	1970-01	49.363470	0
30	2	0.575846	136392.984863	136392.982178	136984.653076	136984.650879	2	2	0.959766	137993.905029	137993.895996	138968.663086	138968.662109	004	f	1970-01	49.363470	1
31	2	0.468537	141476.068115	141476.065918	141960.729004	141960.727051	2	2	0.600443	142977.336914	142977.329102	143592.751221	143592.750244	004	f	1970-01	49.363470	0
32	2	0.787206	146109.501953	146109.499023	146912.811035	146912.809814	2	1	0.675010	147914.031006	147914.022949	148600.726074	148600.725098	004	f	1970-01	49.363470	1
